Date,NO,NOx,Benzene,Eth-Benzene,MP-Xylene,RH,WS,WD,RF,TOT-RF,SR,BP,PM25,PM10,NO2,SO2,NH3,CO,O3,AQI,AQI_Category
2024-09-10,0.18041666666666667,0.09583333333333333,0.024166666666666666,0.015,0.09708333333333334,62.2125,0.88875,174.33208333333334,0.0,0.0,125.33208333333334,745.9549999999999,31.48,44.9775,0.43083333333333335,15.275,5.004166666666666,4.02875,47.67041666666666,50.45916666666667,Satisfactory
2024-09-11,0.10666666666666667,0.0725,0.01916666666666667,0.01,0.07250000000000001,75.02291666666666,1.6879166666666665,142.36833333333334,0.03958333333333334,0.03958333333333334,67.50583333333334,746.00375,20.233333333333334,26.324166666666667,0.4116666666666666,15.034166666666666,4.906666666666667,3.985416666666667,33.028749999999995,33.503750000000004,Good
2024-09-12,0.30624999999999997,0.6066666666666667,0.029583333333333333,0.017499999999999998,0.09833333333333333,85.25125,1.0845833333333335,140.36499999999998,0.047499999999999994,0.047499999999999994,51.755,747.0220833333333,20.37125,27.525833333333335,0.77875,15.340833333333334,5.0925,8.860833333333334,11.267916666666666,27.525833333333335,Good
2024-09-13,0.6737500000000001,1.2616666666666667,0.042083333333333334,0.02,0.12708333333333335,78.7675,1.0208333333333333,129.70041666666665,0.007083333333333334,0.002916666666666667,46.75625,745.1029166666667,33.160000000000004,43.915,1.4983333333333333,16.03,5.15375,9.761666666666667,10.94375,43.915,Good
2024-09-14,6.862916666666667,0.37375,0.029166666666666664,0.011250000000000001,0.08458333333333334,63.279583333333335,1.8766666666666667,101.23333333333333,0.034999999999999996,0.0,32.36833333333333,743.3195833333333,24.529583333333335,36.81458333333333,0.50375,16.409166666666668,5.114583333333333,5.120833333333334,27.432916666666667,36.81458333333333,Good
2024-09-15,22.303749999999997,0.30624999999999997,0.02,0.01,0.07333333333333335,60.43208333333333,1.6208333333333333,117.84166666666665,0.035416666666666666,0.0,20.542916666666667,744.4783333333334,21.636666666666667,52.75125,0.9941666666666666,16.033333333333335,4.997916666666667,3.8520833333333333,49.58291666666667,52.44541666666667,Satisfactory
2024-09-16,38.4175,0.21541666666666667,0.015,0.01,0.07,58.71333333333333,1.31375,132.90833333333333,0.024999999999999998,0.0,14.447083333333333,745.9250000000001,19.870833333333334,70.87,1.5504166666666668,15.90125,4.875,2.5837499999999998,71.7325,71.8975,Satisfactory
2024-09-17,54.53,0.12458333333333334,0.01,0.01,0.06708333333333334,56.99333333333334,1.0050000000000001,147.975,0.014583333333333335,0.0,8.350833333333332,747.37125,18.104583333333334,88.99000000000001,2.106666666666667,15.769583333333335,4.755,1.315,94.05687499999999,93.79333333333334,Satisfactory
2024-09-18,62.602916666666665,0.58125,0.0062499999999999995,0.01,0.06666666666666667,55.88333333333333,0.7391666666666666,156.92166666666665,0.004166666666666667,0.0,50.175000000000004,748.6079166666667,16.727083333333333,103.12708333333335,2.2420833333333334,15.725833333333334,4.71375,3.0454166666666667,86.1725,108.12791666666668,Moderate
2024-09-19,96.08625,2.1566666666666667,0.02,0.015833333333333335,0.08875,59.50666666666667,0.6029166666666667,140.61916666666667,0.002916666666666667,0.002916666666666667,134.51708333333332,748.3116666666666,21.9525,79.80395833333334,1.7924999999999998,15.910833333333334,4.4750000000000005,5.927499999999999,92.67375,110.90416666666665,Moderate
2024-09-20,15.0525,2.6300000000000003,0.03916666666666667,0.02,0.1325,73.41125,0.4875,176.85208333333333,0.0075,0.0075,67.265,747.11375,56.677083333333336,69.24166666666666,1.8479166666666667,16.572916666666668,5.09,11.324166666666668,7.06,69.24166666666666,Satisfactory
2024-09-21,0.6775000000000001,1.7570833333333333,0.05000000000000001,0.029166666666666664,0.15333333333333335,76.71583333333334,0.5354166666666667,168.47625,0.002916666666666667,0.002916666666666667,62.39625,747.6004166666667,77.21041666666666,79.81958333333334,2.0825,16.097916666666666,5.220833333333334,12.860416666666666,8.691666666666666,79.81958333333334,Satisfactory
2024-09-22,0.3204166666666666,1.04,0.04125,0.02,0.13041666666666665,73.82541666666667,0.68375,175.50083333333336,0.006666666666666667,0.006666666666666667,59.19208333333333,747.7766666666666,57.8975,66.94791666666667,1.4404166666666667,15.457500000000001,5.16375,10.452083333333333,9.289583333333333,66.94791666666667,Satisfactory
2024-09-23,0.5454166666666667,1.4025,0.05000000000000001,0.028749999999999998,0.15166666666666667,77.18958333333333,0.7208333333333333,162.02083333333334,0.020416666666666666,0.020416666666666666,66.15374999999999,747.3783333333334,68.75750000000001,83.78125,1.70375,15.64,5.159583333333333,12.232916666666666,9.895833333333334,83.78125,Satisfactory
2024-09-24,1.0620833333333335,1.9141666666666666,0.04041666666666666,0.02,0.12041666666666667,79.44416666666667,0.9654166666666667,166.5275,0.06333333333333334,0.06333333333333334,62.08583333333333,748.1387500000001,56.826458333333335,99.61291666666666,1.6641666666666666,15.542499999999999,5.1312500000000005,9.3725,8.953333333333333,99.61291666666666,Satisfactory
